province,year,work_place,percentage_structure,variation_rating
Andalucía,2008,3321527,100,-6.412321803
Andalucía,2009,3108540,100,-6.412321803
Andalucía,2010,3038957,100,-2.238446345
Andalucía,2011,2953497,100,-2.812149037
Andalucía,2012,2809637,100,-4.870836165
Andalucía,2013,2732720,100,-2.737613435
Andalucía,2014,2803713,100,2.97887819
Andalucía,2015,2930693,100,4.2899423
Andalucía,2016,2994562,100,2.79313903
Andalucía,2017,3105452,100,3.03045721
Andalucía,2018,3169481,100,2.61825461
Andalucía,2019,3263122,100,2.54458474
Almería,2008,290858,8.756755552,-6.353959664
Almería,2009,272377,8.762216346,-6.353959664
Almería,2010,270151,8.889596003,-0.817249621
Almería,2011,263089,8.907711774,-2.6140936
Almería,2012,249084,8.865344527,-5.323293638
Almería,2013,248434,9.091088732,-0.260956143
Almería,2014,260446,9.289324549,4.835086985
Almería,2015,276146,9.422549547,6.028120992
Almería,2016,289352,9.662581706,4.782252866
Almería,2017,299033,9.62929068,3.345751887
Almería,2018,298977,9.432995497,-0.01872703
Almería,2019,308820,9.463942813,3.292226492
Cádiz,2008,450321,13.55764984,-7.539732768
Cádiz,2009,416368,13.3943266,-7.539732768
Cádiz,2010,400826,13.18959103,-3.732755639
Cádiz,2011,396696,13.43140013,-1.030372281
Cádiz,2012,379486,13.50658466,-4.338334644
Cádiz,2013,360506,13.1922041,-5.001502032
Cádiz,2014,361271,12.88544869,0.212201739
Cádiz,2015,380884,12.99638004,5.428888563
Cádiz,2016,384951,12.85500183,1.067779166
Cádiz,2017,394214,12.69425514,2.40628028
Cádiz,2018,406499,12.82541211,3.11632768
Cádiz,2019,417211,12.78563903,2.635184834
Córdoba,2008,300155,9.036656935,-3.759724143
Córdoba,2009,288870,9.292786968,-3.759724143
Córdoba,2010,282150,9.284435416,-2.326305951
Córdoba,2011,272410,9.223303765,-3.452064505
Córdoba,2012,257690,9.171647441,-5.403619544
Córdoba,2013,251572,9.205919377,-2.374170515
Córdoba,2014,256969,9.165310429,2.145310289
Córdoba,2015,262617,8.960918117,2.19793049
Córdoba,2016,265938,8.880697745,1.264579216
Córdoba,2017,281531,9.065701225,5.863396732
Córdoba,2018,285978,9.022865258,1.579577382
Córdoba,2019,291120,8.921517492,1.798040409
Granada,2008,353850,10.65323269,-6.283170835
Granada,2009,331617,10.66793414,-6.283170835
Granada,2010,320176,10.53571999,-3.450064382
Granada,2011,310302,10.5062575,-3.083928839
Granada,2012,295660,10.52306757,-4.718628949
Granada,2013,290987,10.64825522,-1.580531692
Granada,2014,295706,10.54694257,1.621721933
Granada,2015,306098,10.44456038,3.514301367
Granada,2016,312903,10.44904063,2.223144222
Granada,2017,322172,10.3743996,2.96225987
Granada,2018,330392,10.42416724,2.551432154
Granada,2019,341555,10.4671232,3.37871377
Huelva,2008,209087,6.294905927,-6.376293122
Huelva,2009,195755,6.297329293,-6.376293122
Huelva,2010,192276,6.327039178,-1.777221527
Huelva,2011,189462,6.414836379,-1.463521188
Huelva,2012,181124,6.446526722,-4.400882499
Huelva,2013,175190,6.410828771,-3.276208564
Huelva,2014,185128,6.602958291,5.672698213
Huelva,2015,192331,6.562645763,3.890821486
Huelva,2016,196126,6.549405222,1.973160853
Huelva,2017,206872,6.661574547,5.479130763
Huelva,2018,209858,6.621210223,1.443404617
Huelva,2019,218460,6.694815578,4.098962155
Jaén,2008,236869,7.131328452,-3.870071643
Jaén,2009,227702,7.325046485,-3.870071643
Jaén,2010,228305,7.512610412,0.264819808
Jaén,2011,222917,7.547561416,-2.360000876
Jaén,2012,207418,7.382377154,-6.952812033
Jaén,2013,207774,7.603193887,0.171634092
Jaén,2014,203921,7.273248011,-1.854418743
Jaén,2015,210932,7.197342062,3.438096125
Jaén,2016,222239,7.421419226,5.360495326
Jaén,2017,226844,7.304701538,2.072093557
Jaén,2018,233389,7.363634614,2.885242722
Jaén,2019,234111,7.174448274,0.309354768
Málaga,2008,663982,19.99026351,-7.762559828
Málaga,2009,612440,19.7018536,-7.762559828
Málaga,2010,592668,19.502349,-3.228397884
Málaga,2011,570758,19.32482071,-3.696842077
Málaga,2012,554211,19.72535954,-2.899127126
Málaga,2013,537131,19.65554466,-3.081858714
Málaga,2014,561378,20.02266281,4.514168797
Málaga,2015,590645,20.15376568,5.21342126
Málaga,2016,604519,20.18722605,2.348957496
Málaga,2017,628695,20.24487901,3.999212597
Málaga,2018,649314,20.48644557,3.279650705
Málaga,2019,672690,20.61492031,3.60010719
Sevilla,2008,816405,24.57920709,-6.491141039
Sevilla,2009,763411,24.55850657,-6.491141039
Sevilla,2010,752405,24.75865897,-1.441687374
Sevilla,2011,727863,24.64410832,-3.261807138
Sevilla,2012,684964,24.37909239,-5.893828921
Sevilla,2013,661126,24.19296525,-3.4801829
Sevilla,2014,678894,24.21410465,2.687536113
Sevilla,2015,711040,24.26183841,4.735054368
Sevilla,2016,718534,23.9946276,1.053949145
Sevilla,2017,746091,24.02519826,3.835169943
Sevilla,2018,755074,23.82326949,1.204008626
Sevilla,2019,779155,23.8775933;,.189223838
